name,datetime,tempmax,tempmin,temp,precipprob,preciptype
New york,5/8/2024,28.4,17.9,22.5,100,rain
New york,5/8/2024,25.4,18.9,10.5,100,rain
New york,5/8/2024,28.8,17.1,22.7,0,
New york,5/9/2024,22.2,16.2,18.7,0,
New york,5/9/2024,27.8,18.4,22.6,0,
New york,5/9/2024,30.5,20.8,24.8,0,
New york,5/10/2024,15,10.6,11.5,100,rain
New york,5/10/2024,12,7.5,13.5,100,rain
New york,5/11/2024,16.6,9.3,12.5,0,
New york,5/12/2024,14.3,9.3,11.3,100,rain
New york,5/13/2024,17.8,10,13.4,0,
New york,5/14/2024,21.2,13.3,17.4,100,rain
New york,5/15/2024,18.3,15,16.1,100,rain
New york,5/16/2024,18.8,15,16.7,100,rain
